,Arts___Entertainment,Beauty___Fitness,Books___Literature,Entertainment_Industry,Games,Hobbies___Leisure,Cleaning_Supplies___Services,Laundry,Astrology___Divination,Pets___Animals,Libraries___Museums,Entertainment_Media,Gifts___Special_Event_Items,Photo___Video_Services,Ticket_Sales,Sports
2018-02-04,76.0,58.0,77.0,35.0,66.0,44.0,67.0,46.0,66.0,85.0,53.0,66.0,68.0,84.0,20.0,42.0
2018-02-11,85.0,58.0,84.0,36.0,66.0,55.0,64.0,50.0,66.0,84.0,40.0,75.0,91.0,72.0,24.0,30.0
2018-02-18,74.0,57.0,83.0,45.0,65.0,42.0,77.0,62.0,66.0,85.0,56.0,70.0,62.0,61.0,31.0,27.0
2018-02-25,78.0,57.0,84.0,45.0,64.0,40.0,59.0,69.0,59.0,82.0,64.0,71.0,59.0,85.0,27.0,19.0
2018-03-04,76.0,57.0,70.0,62.0,59.0,37.0,65.0,58.0,61.0,76.0,58.0,56.0,60.0,71.0,50.0,33.0
2018-03-11,71.0,56.0,68.0,46.0,64.0,37.0,57.0,62.0,58.0,80.0,43.0,58.0,58.0,77.0,37.0,33.0
2018-03-18,73.0,58.0,76.0,45.0,62.0,41.0,59.0,55.0,61.0,79.0,56.0,62.0,60.0,65.0,23.0,22.0
2018-03-25,75.0,60.0,77.0,39.0,69.0,43.0,71.0,67.0,66.0,80.0,53.0,62.0,62.0,74.0,22.0,21.0
2018-04-01,74.0,62.0,69.0,45.0,66.0,41.0,59.0,51.0,64.0,80.0,38.0,58.0,58.0,73.0,20.0,19.0
2018-04-08,71.0,65.0,63.0,38.0,63.0,47.0,50.0,52.0,67.0,70.0,32.0,65.0,85.0,67.0,24.0,25.0
2018-04-15,72.0,73.0,69.0,34.0,61.0,37.0,68.0,62.0,69.0,77.0,50.0,64.0,53.0,61.0,27.0,24.0
2018-04-22,67.0,73.0,66.0,35.0,60.0,36.0,60.0,59.0,54.0,72.0,51.0,63.0,59.0,62.0,33.0,24.0
2018-04-29,75.0,74.0,70.0,38.0,60.0,38.0,59.0,52.0,57.0,75.0,41.0,60.0,62.0,73.0,29.0,25.0
